rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1538693557275092640,,22528,,1538693557,178281875,"""imu_link""",,-0.00193836410468,0.00931131522419,0.0228154970442,-0.999694450944,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.00148537665041,0.00180680513599,0.00175154022325,"[1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07]",,0.175496884135,0.0594085080864,9.66149058895,"[8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06]"
1538693557284491231,,22529,,1538693557,192281875,"""imu_link""",,-0.00332345588261,0.00919069001576,0.0228178362044,-0.999691868632,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.00174352975127,0.00147429596301,0.00155960731501,"[1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07]",,0.176210016877,0.0631582963889,9.66051803691,"[8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06]"
1538693557302071852,,22530,,1538693557,204281875,"""imu_link""",,-0.00211470999381,0.00926863890589,0.0227982424679,-0.999694883689,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.00205647483974,0.00184682462148,0.00140606098613,"[1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07]",,0.175822843316,0.0661581270756,9.66835911314,"[8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06]"
1538693557315127143,,22531,,1538693557,217281875,"""imu_link""",,-0.00336109396505,0.00893097684601,0.0227933862546,-0.999694654504,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.00241325351897,0.00246411555312,0.00266671852756,"[1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07]",,0.172161225294,0.0647272726094,9.67080125516,"[8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06]"
1538693557325782595,,22532,,1538693557,230281875,"""imu_link""",,-0.00223082690733,0.00823957860306,0.0227690108831,-0.999704308733,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.00259225386189,0.00317079370148,0.00261101796978,"[1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07]",,0.167795411187,0.0635825890195,9.6756280081,"[8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06]"
1538693557338764226,,22533,,1538693557,243281875,"""imu_link""",,-0.00350995718996,0.00839029136404,0.0227673650217,-0.999699419976,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.00167122753241,0.00245906422695,0.00182149882422,"[1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07]",,0.160472040799,0.0717648118014,9.66895493311,"[8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06]"
1538693557351046390,,22534,,1538693557,256281875,"""imu_link""",,-0.00345016558387,0.00967207391509,0.0227454078349,-0.999688548382,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.00146651976082,0.00284748464007,0.00257337819786,"[1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07]",,0.170893900369,0.0711279799826,9.66648951234,"[8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06]"
1538693557361938518,,22535,,1538693557,269281875,"""imu_link""",,-0.00246806136769,0.00879068090957,0.022724155941,-0.999700077693,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.00140917623895,0.00262610757909,0.00232350030921,"[1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07]",,0.177794868505,0.0624782246151,9.66260181616,"[8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06]"
1538693557374533514,,22536,,1538693557,282281875,"""imu_link""",,-0.00375937625412,0.0087529528873,0.0227217787006,-0.999696440765,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.00136330142078,0.00266185132337,0.00212359799531,"[1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07]",,0.167992766891,0.0574737916646,9.66380112273,"[8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06]"
1538693557392075263,,22537,,1538693557,295281875,"""imu_link""",,-0.00252368539476,0.00832749062809,0.0227067480554,-0.999704300033,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.000155952226961,0.00311613692434,0.000899449535855,"[1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07]",,0.161587605127,0.0587374839399,9.66092984896,"[8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06]"
1538693557404132655,,22538,,1538693557,308281875,"""imu_link""",,-0.00362073020663,0.00901524040409,0.0227073401746,-0.9996949497,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.000809927142484,0.00316029741012,0.000984357359652,"[1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07, 0.0, 0.0, 0.0, 1.218467815533586e-07]",,0.163646073861,0.0592695978939,9.66629426801,"[8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06, 0.0, 0.0, 0.0, 8.661248102725949e-06]"
